"日付","始値","高値","安値","終値","前日比","出来高","5DMA","25DMA","75DMA","100DMA","200DMA","5DVMA","25DVMA","75DVMA"
"2023/03/31","4,081.00","4,142.50","4,078.00","4,139.50","+56.50","1,556,548","4,060.40","3,987.74","3,993.26","3,987.25","3,945.73","1,320,663","1,625,843","1,599,609"
"2023/03/30","4,058.00","4,087.75","4,052.50","4,083.00","+25.00","1,279,988","4,034.60","3,981.14","3,991.23","3,983.58","3,943.73","1,383,549","1,642,736","1,599,563"
"2023/03/29","4,006.50","4,061.25","4,006.00","4,058.00","+51.50","1,327,088","4,015.50","3,978.43","3,989.21","3,980.01","3,942.08","1,559,304","1,667,452","1,604,725"
"2023/03/28","4,013.50","4,023.75","3,980.75","4,006.50","-8.50","1,189,467","3,998.25","3,976.45","3,987.96","3,977.11","3,941.32","1,640,538","1,689,449","1,609,186"
"2023/03/27","4,008.00","4,034.25","3,997.50","4,015.00","+4.50","1,250,224","4,004.75","3,976.50","3,987.00","3,975.66","3,941.40","1,691,560","1,714,825","1,616,136"
"2023/03/24","3,988.75","4,010.75","3,937.00","4,010.50","+23.00","1,870,979","3,999.25","3,979.33","3,986.06","3,974.34","3,941.91","1,790,770","1,742,470","1,623,455"
"2023/03/23","3,972.75","4,039.50","3,948.50","3,987.50","+15.75","2,158,762","3,988.60","3,982.74","3,986.01","3,973.46","3,942.61","1,424,280","1,747,333","1,617,645"
"2023/03/22","4,038.75","4,073.75","3,966.25","3,971.75","-67.25","1,733,260","3,983.65","3,989.62","3,987.06","3,971.50","3,943.28","1,076,312","1,723,691","1,612,648"
"2023/03/21","3,986.50","4,043.25","3,981.75","4,039.00","+51.50","1,444,577","3,967.90","3,996.39","3,988.47","3,970.32","3,943.97","883,083","1,747,299","1,613,240"
"2023/03/20","3,963.75","3,989.50","3,897.25","3,987.50","+30.25","1,746,275","3,944.50","4,000.81","3,989.19","3,968.47","3,944.66","892,767","1,742,326","1,625,486"
"2023/03/17","3,962.25","3,974.00","3,923.00","3,957.25","-5.50","38,528","3,919.60","4,005.29","3,988.86","3,966.65","3,945.21","1,079,217","1,740,405","1,621,508"
"2023/03/16","3,892.75","3,966.50","3,863.25","3,962.75","+69.75","418,924","3,903.95","4,010.91","3,989.05","3,964.79","3,946.08","1,703,110","1,809,981","1,640,032"
"2023/03/15","3,920.50","3,931.00","3,834.00","3,893.00","-29.00","767,111","3,895.20","4,017.70","3,990.00","3,961.93","3,947.11","2,114,487","1,862,673","1,641,978"
"2023/03/14","3,865.75","3,938.00","3,855.25","3,922.00","+59.00","1,492,998","3,916.25","4,028.63","3,991.95","3,960.11","3,947.90","2,319,205","1,916,969","1,648,272"
"2023/03/13","3,887.75","3,938.75","3,808.75","3,863.00","-16.00","2,678,528","3,929.80","4,036.68","3,993.11","3,958.47","3,948.14","2,436,417","1,917,920","1,643,198"
"2023/03/10","3,919.00","3,941.75","3,846.25","3,879.00","-40.00","3,157,992","3,967.95","4,048.00","3,994.38","3,956.83","3,948.57","2,198,459","1,901,322","1,622,655"
"2023/03/09","3,997.00","4,019.75","3,909.50","3,919.00","-79.25","2,475,807","4,002.65","4,059.43","3,995.61","3,954.01","3,949.07","1,882,472","1,863,809","1,600,198"
"2023/03/08","3,990.00","4,003.25","3,971.50","3,998.25","+8.50","1,790,700","4,015.45","4,068.37","3,996.17","3,951.62","3,948.98","1,744,235","1,842,379","1,587,429"
"2023/03/07","4,053.75","4,064.50","3,982.50","3,989.75","-64.00","2,079,060","4,008.00","4,071.87","3,995.85","3,947.57","3,948.48","1,781,402","1,838,993","1,582,862"
"2023/03/06","4,049.25","4,082.50","4,041.75","4,053.75","+1.25","1,488,740","4,003.95","4,073.87","3,995.92","3,943.75","3,948.10","1,720,505","1,825,056","1,584,043"
"2023/03/03","3,983.00","4,053.00","3,974.00","4,052.50","+69.50","1,578,056","3,991.50","4,075.08","3,994.87","3,939.49","3,948.29","1,740,107","1,826,585","1,584,485"
"2023/03/02","3,959.75","3,995.25","3,925.00","3,983.00","+22.00","1,784,623","3,975.90","4,075.69","3,994.16","3,935.47","3,948.03","1,820,269","1,826,043","1,588,071"
"2023/03/01","3,968.50","3,991.00","3,943.00","3,961.00","-8.50","1,976,533","3,982.35","4,077.55","3,994.03","3,933.15","3,948.18","1,842,920","1,822,822","1,595,026"
"2023/02/28","3,991.50","4,003.75","3,965.00","3,969.50","-22.00","1,774,573","3,991.85","4,080.66","3,991.30","3,931.50","3,947.93","1,823,019","1,801,050","1,593,067"
"2023/02/27","3,976.50","4,024.75","3,973.00","3,991.50","+17.00","1,586,754","3,999.50","4,083.36","3,989.47","3,929.84","3,947.79","1,832,875","1,791,352","1,593,591"
"2023/02/24","4,015.25","4,023.25","3,947.50","3,974.50","-40.75","1,978,865","4,018.35","4,083.22","3,987.08","3,926.87","3,947.79","1,903,794","1,789,052","1,591,710"
"2023/02/23","4,010.00","4,034.25","3,974.25","4,015.25","+6.75","1,897,876","4,042.60","4,081.05","3,984.39","3,923.17","3,947.87","1,906,533","1,783,342","1,597,711"
"2023/02/22","4,007.50","4,025.00","3,983.75","4,008.50","+0.75","1,877,028","4,071.45","4,078.27","3,980.53","3,919.60","3,948.35","1,840,503","1,780,921","1,596,754"
"2023/02/21","4,083.00","4,089.25","4,002.00","4,007.75","-78.00","1,823,853","4,097.95","4,078.29","3,977.33","3,916.82","3,949.06","1,929,786","1,760,883","1,600,160"
"2023/02/17","4,095.50","4,096.00","4,055.75","4,085.75","-10.00","1,941,351","4,126.30","4,078.74","3,975.38","3,913.39","3,950.45","1,829,069","1,744,385","1,600,270"
"2023/02/16","4,159.00","4,168.50","4,095.00","4,095.75","-63.75","1,992,560","4,129.05","4,075.42","3,972.67","3,909.21","3,950.89","1,780,447","1,748,510","1,599,544"
"2023/02/15","4,141.25","4,161.75","4,113.00","4,159.50","+18.50","1,567,727","4,129.45","4,071.28","3,970.37","3,905.36","3,951.15","1,737,521","1,722,172","1,599,579"
"2023/02/14","4,149.75","4,186.50","4,103.75","4,141.00","-8.50","2,323,441","4,124.05","4,062.55","3,965.46","3,901.51","3,951.03","1,771,220","1,718,579","1,607,284"
"2023/02/13","4,105.00","4,150.75","4,078.75","4,149.50","+50.00","1,320,269","4,129.10","4,053.45","3,961.63","3,898.06","3,951.63","1,731,433","1,691,603","1,603,382"
