"日付","始値","高値","安値","終値","前日比","5DMA","25DMA","75DMA","100DMA","200DMA"
"2023/03/31","28,009.22","28,124.62","27,986.62","28,041.48","+258.55","27,740.66","27,662.94","27,217.25","27,388.90","27,360.53"
"2023/03/30","27,827.89","27,876.38","27,630.55","27,782.93","-100.85","27,609.42","27,625.45","27,215.38","27,385.12","27,361.49"
"2023/03/29","27,549.37","27,897.72","27,505.48","27,883.78","+365.53","27,536.75","27,613.06","27,212.60","27,384.08","27,362.29"
"2023/03/28","27,573.82","27,603.45","27,432.76","27,518.25","+41.38","27,453.32","27,598.98","27,209.97","27,381.12","27,362.45"
"2023/03/27","27,482.39","27,543.48","27,359.72","27,476.87","+91.62","27,338.80","27,598.78","27,214.87","27,376.99","27,363.67"
"2023/03/24","27,368.62","27,397.29","27,257.44","27,385.25","-34.36","27,310.19","27,607.56","27,219.45","27,375.67","27,363.36"
"2023/03/23","27,232.97","27,461.97","27,175.63","27,419.61","-47.00","27,235.26","27,612.23","27,224.69","27,376.14","27,363.72"
"2023/03/22","27,298.15","27,520.97","27,267.26","27,466.61","+520.94","27,197.23","27,619.55","27,235.44","27,374.45","27,363.02"
"2023/03/20","27,253.73","27,367.18","26,945.67","26,945.67","-388.12","27,148.32","27,617.98","27,242.14","27,369.53","27,362.53"
"2023/03/17","27,232.23","27,356.15","27,071.71","27,333.79","+323.18","27,325.78","27,646.99","27,256.57","27,368.98","27,361.71"
"2023/03/16","26,796.67","27,057.54","26,632.92","27,010.61","-218.87","27,487.81","27,657.02","27,267.62","27,365.71","27,358.07"
"2023/03/15","27,421.66","27,424.94","27,105.99","27,229.48","+7.44","27,810.32","27,680.85","27,284.59","27,368.18","27,356.41"
"2023/03/14","27,455.95","27,455.95","27,104.75","27,222.04","-610.92","28,053.26","27,699.09","27,299.97","27,367.44","27,354.00"
"2023/03/13","27,886.21","27,906.97","27,631.53","27,832.96","-311.01","28,270.69","27,717.95","27,311.88","27,362.98","27,352.90"
"2023/03/10","28,385.29","28,424.24","28,118.74","28,143.97","-479.18","28,351.65","27,705.01","27,313.38","27,355.56","27,347.43"
"2023/03/09","28,648.11","28,734.79","28,558.88","28,623.15","+178.96","28,308.35","27,675.34","27,310.12","27,336.49","27,338.72"
"2023/03/08","28,237.21","28,469.41","28,232.68","28,444.19","+135.03","28,083.49","27,624.29","27,300.89","27,314.23","27,330.16"
"2023/03/07","28,202.59","28,398.27","28,202.59","28,309.16","+71.38","27,897.96","27,579.60","27,295.34","27,293.80","27,321.24"
"2023/03/06","28,182.31","28,288.62","28,153.82","28,237.78","+310.31","27,725.24","27,544.57","27,291.09","27,281.87","27,312.43"
"2023/03/03","27,683.26","27,961.21","27,655.34","27,927.47","+428.60","27,562.48","27,510.36","27,287.43","27,272.61","27,303.38"
"2023/03/02","27,564.82","27,617.80","27,408.54","27,498.87","-17.66","27,467.68","27,487.78","27,291.91","27,264.54","27,292.48"
"2023/03/01","27,363.57","27,530.76","27,305.37","27,516.53","+70.97","27,388.77","27,483.62","27,291.21","27,259.47","27,286.06"
"2023/02/28","27,515.34","27,585.17","27,400.36","27,445.56","+21.60","27,380.08","27,474.93","27,293.87","27,246.46","27,279.31"
"2023/02/27","27,322.73","27,456.22","27,292.74","27,423.96","-29.52","27,397.36","27,453.35","27,299.56","27,231.38","27,273.68"
"2023/02/24","27,144.72","27,465.90","27,128.32","27,453.48","+349.16","27,415.19","27,418.53","27,300.94","27,221.36","27,271.58"
"2023/02/22","27,265.99","27,300.53","27,046.08","27,104.32","-368.78","27,463.79","27,376.60","27,297.56","27,208.56","27,268.40"
"2023/02/21","27,486.09","27,538.29","27,359.12","27,473.10","-58.84","27,543.29","27,364.07","27,305.01","27,203.24","27,267.12"
"2023/02/20","27,497.13","27,531.94","27,426.48","27,531.94","+18.81","27,569.23","27,310.70","27,307.76","27,192.82","27,261.69"
"2023/02/17","27,484.60","27,608.59","27,466.61","27,513.13","-183.31","27,548.30","27,242.31","27,308.50","27,189.04","27,257.53"
"2023/02/16","27,654.72","27,727.66","27,597.12","27,696.44","+194.58","27,579.87","27,186.57","27,303.06","27,187.04","27,252.92"
"2023/02/15","27,686.01","27,720.27","27,444.13","27,501.86","-100.91","27,557.46","27,136.70","27,298.38","27,186.96","27,249.96"
"2023/02/14","27,705.37","27,721.82","27,553.18","27,602.77","+175.45","27,578.38","27,094.47","27,297.44","27,187.62","27,250.22"
"2023/02/13","27,550.35","27,570.32","27,266.94","27,427.32","-243.66","27,594.92","27,037.38","27,292.74","27,190.35","27,248.29"
"2023/02/10","27,711.25","27,814.02","27,609.33","27,670.98","+86.63","27,648.18","26,979.24","27,286.71","27,194.27","27,246.08"
"2023/02/09","27,453.40","27,635.38","27,424.69","27,584.35","-22.11","27,615.88","26,905.23","27,276.31","27,203.70","27,241.73"
"2023/02/08","27,690.74","27,719.45","27,458.53","27,606.46","-79.01","27,579.42","26,830.53","27,268.61","27,213.28","27,239.27"
"2023/02/07","27,744.90","27,814.96","27,662.11","27,685.47","-8.18","27,527.50","26,770.05","27,263.95","27,219.36","27,237.10"
"2023/02/06","27,764.66","27,821.22","27,656.47","27,693.65","+184.19","27,455.83","26,706.38","27,256.89","27,223.16","27,232.89"
"2023/02/03","27,455.03","27,612.57","27,445.69","27,509.46","+107.41","27,403.78","26,652.26","27,244.66","27,220.53","27,226.09"
"2023/02/02","27,453.67","27,472.44","27,338.43","27,402.05","+55.17","27,378.40","26,609.79","27,239.07","27,221.70","27,222.65"
"2023/02/01","27,483.41","27,547.67","27,322.79","27,346.88","+19.77","27,370.54","26,569.95","27,223.55","27,223.87","27,220.57"
"2023/01/31","27,458.56","27,494.17","27,302.22","27,327.11","-106.29","27,380.17","26,525.48","27,210.88","27,226.91","27,218.28"
"2023/01/30","27,384.77","27,486.42","27,337.25","27,433.40","+50.84","27,374.58","26,492.71","27,198.53","27,230.26","27,218.40"
"2023/01/27","27,428.41","27,452.67","27,326.91","27,382.56","+19.81","27,269.11","26,450.88","27,194.30","27,236.84","27,220.17"
"2023/01/26","27,444.64","27,502.15","27,284.08","27,362.75","-32.26","27,103.30","26,418.30","27,193.35","27,244.97","27,221.94"
"2023/01/25","27,175.88","27,473.90","27,175.88","27,395.01","+95.82","26,911.80","26,413.30","27,190.12","27,250.13","27,223.46"
"2023/01/24","27,150.43","27,381.00","27,150.43","27,299.19","+393.15","26,791.02","26,418.58","27,184.75","27,262.59","27,225.59"
"2023/01/23","26,880.21","26,938.28","26,788.76","26,906.04","+352.51","26,558.92","26,448.68","27,170.31","27,274.39","27,229.23"
"2023/01/20","26,346.69","26,553.53","26,320.96","26,553.53","+148.30","26,342.18","26,498.69","27,157.39","27,288.47","27,235.96"
"2023/01/19","26,541.08","26,592.87","26,368.97","26,405.23","-385.89","26,255.37","26,554.74","27,155.64","27,307.46","27,242.91"
"2023/01/18","26,251.34","26,816.68","26,211.84","26,791.12","+652.44","26,264.29","26,612.23","27,152.55","27,331.35","27,251.64"
"2023/01/17","25,915.51","26,198.69","25,895.30","26,138.68","+316.36","26,195.27","26,656.62","27,149.63","27,352.74","27,258.23"
"2023/01/16","25,836.67","25,938.04","25,748.10","25,822.32","-297.20","26,202.64","26,714.05","27,153.53","27,380.78","27,267.74"
"2023/01/13","26,391.78","26,409.21","26,090.84","26,119.52","-330.30","26,232.95","26,788.62","27,171.29","27,414.78","27,274.75"
"2023/01/12","26,524.94","26,547.61","26,381.93","26,449.82","+3.82","26,173.21","26,859.27","27,187.20","27,442.28","27,278.29"
"2023/01/11","26,362.21","26,479.99","26,332.05","26,446.00","+270.44","26,026.61","26,914.09","27,203.72","27,466.50","27,279.30"
"2023/01/10","26,176.61","26,316.66","26,132.80","26,175.56","+201.71","25,956.31","26,967.37","27,218.67","27,487.51","27,275.88"
"2023/01/06","25,740.08","26,034.06","25,719.61","25,973.85","+153.05","25,939.94","27,049.39","27,241.34","27,503.94","27,271.74"
"2023/01/05","25,825.50","25,947.10","25,750.46","25,820.80","+103.94","26,013.27","27,129.19","27,265.94","27,524.20","27,268.41"
"2023/01/04","25,834.93","25,840.68","25,661.89","25,716.86","-377.64","26,138.68","27,217.48","27,303.19","27,548.49","27,265.12"
"2022/12/30","26,288.00","26,321.37","26,067.92","26,094.50","+0.83","26,276.48","27,315.32","27,340.86","27,573.08","27,264.99"
"2022/12/29","26,074.90","26,126.70","25,953.92","26,093.67","-246.83","26,304.63","27,402.86","27,369.13","27,591.46","27,258.10"
"2022/12/28","26,309.34","26,354.27","26,199.67","26,340.50","-107.37","26,387.47","27,494.43","27,395.42","27,607.94","27,251.59"
"2022/12/27","26,570.78","26,620.49","26,447.87","26,447.87","+42.00","26,396.92","27,565.44","27,409.95","27,620.48","27,245.99"
"2022/12/26","26,299.54","26,438.65","26,294.85","26,405.87","+170.62","26,420.95","27,625.32","27,425.67","27,635.94","27,243.68"
"2022/12/23","26,207.77","26,291.98","26,106.38","26,235.25","-272.62","26,587.30","27,685.08","27,441.85","27,649.89","27,244.54"
"2022/12/22","26,552.43","26,585.28","26,399.31","26,507.87","+120.15","26,845.68","27,752.89","27,460.72","27,665.70","27,245.33"
"2022/12/21","26,547.17","26,616.28","26,269.80","26,387.72","-180.31","27,154.44","27,813.71","27,476.10","27,677.77","27,247.01"
"2022/12/20","27,257.35","27,339.49","26,416.91","26,568.03","-669.61","27,508.14","27,877.80","27,498.82","27,690.45","27,247.71"
"2022/12/19","27,279.92","27,349.58","27,165.78","27,237.64","-289.48","27,785.50","27,933.62","27,520.52","27,701.76","27,247.25"
"2022/12/16","27,706.70","27,713.04","27,488.83","27,527.12","-524.58","27,906.44","27,974.66","27,529.07","27,708.53","27,240.91"
"2022/12/15","27,991.14","28,163.17","27,987.54","28,051.70","-104.51","27,981.22","27,971.42","27,543.93","27,711.29","27,235.53"
"2022/12/14","28,005.03","28,195.69","27,993.78","28,156.21","+201.36","27,885.77","27,958.01","27,549.63","27,707.58","27,229.82"
"2022/12/13","28,067.37","28,116.56","27,907.49","27,954.85","+112.52","27,791.80","27,946.64","27,551.73","27,695.63","27,224.65"
"2022/12/12","27,741.10","27,865.72","27,734.66","27,842.33","-58.68","27,778.01","27,929.55","27,558.36","27,683.97","27,221.04"
"2022/12/09","27,633.96","27,952.80","27,633.96","27,901.01","+326.58","27,773.62","27,903.85","27,571.06","27,671.98","27,219.13"
"2022/12/08","27,622.30","27,643.64","27,415.66","27,574.43","-111.97","27,749.00","27,894.35","27,584.78","27,657.75","27,213.95"
"2022/12/07","27,670.29","27,786.25","27,646.78","27,686.40","-199.47","27,879.33","27,898.53","27,603.02","27,645.38","27,211.48"
"2022/12/06","27,704.06","27,934.07","27,698.31","27,885.87","+65.47","27,935.85","27,894.57","27,623.50","27,636.64","27,211.53"
"2022/12/05","27,752.99","27,854.11","27,700.86","27,820.40","+42.50","27,964.24","27,863.34","27,636.61","27,622.95","27,210.00"
"2022/12/02","27,983.18","27,983.18","27,662.12","27,777.90","-448.18","28,032.73","27,844.33","27,650.63","27,609.65","27,207.32"
"2022/12/01","28,273.13","28,423.46","28,226.08","28,226.08","+257.09","28,133.75","27,830.49","27,660.88","27,592.95","27,204.67"
"2022/11/30","27,886.67","27,972.89","27,802.71","27,968.99","-58.85","28,165.16","27,791.46","27,655.46","27,574.92","27,200.74"
"2022/11/29","27,991.50","28,055.91","27,899.98","28,027.84","-134.99","28,194.51","27,751.70","27,655.87","27,556.77","27,197.10"
"2022/11/28","28,220.56","28,238.50","28,046.32","28,162.83","-120.20","28,177.90","27,706.21","27,658.83","27,535.85","27,194.63"
"2022/11/25","28,398.77","28,399.88","28,263.60","28,283.03","-100.06","28,125.28","27,659.97","27,659.00","27,518.15","27,189.21"
"2022/11/24","28,373.72","28,502.29","28,363.66","28,383.09","+267.35","28,054.79","27,618.95","27,654.32","27,503.37","27,182.81"
"2022/11/22","28,059.51","28,203.35","28,038.16","28,115.74","+170.95","27,983.83","27,569.87","27,645.77","27,490.03","27,174.48"
